Name,IATA Code,ICAO Code,Prefix,Fleet Size,Destinations,Callsign,Logo URL,Wikipedia URL,AOC Number,Hubs,Destinations - actual names and airport/city code,Website,Key people,Employees,Headquarters,Alliance,Frequent-flyer programs,Revenue,Operating Income,Net Income,Total assets,Total equity,Founded
Alaska Central Express,KO,AER,N,21,19,ACE AIR,https://images.planefinder.net/api/logo/AER/w/256,https://en.wikipedia.org/wiki/Alaska_Central_Express,YADA179J,Ted Stevens Anchorage International Airport,,www.aceaircargo.com,,,"Anchorage, Alaska",,,,,,,,1996 ( 1996 )
AlbaStar,AP,LAV,EC,5,2,ALBASTAR,https://images.planefinder.net/api/logo/LAV/w/256,https://en.wikipedia.org/wiki/AlbaStar,,Milan–Malpensa ; Bergamo ; Palma de Mallorca ; Trapani,,www .albastar .es,Pino D'Urso,200,"Palma de Mallorca , Balearic Islands , Spain",,,,,,,,30 November 2009 ( 2009-11-30 ); 31 July 2010 ( 2010-07-31 )
Albatros Airlines,G2,GAL,YV,0,0,ALBATROS,https://images.planefinder.net/api/logo/GAL/w/256,https://en.wikipedia.org/wiki/Albatros_Airlines,,,,,,,,,,,,,,,
Albawings,2B,AWT,,0,0,ALBAWINGS,https://images.planefinder.net/api/logo/AWT/w/256,https://en.wikipedia.org/wiki/Albawings,,,,www .albawings .com /en,Dritan Shakohoxha CEO,72,"Tirana , Albania",,,,,,,,February 2015; September 2016
Alexandria Airlines,DQ,KHH,SU,1,0,,https://images.planefinder.net/api/logo/KHH/w/256,https://en.wikipedia.org/wiki/Alexandria_Airlines,,Cairo International Airport,Egypt: Alexandria (HBE) — Borg El Arab International Airport; Sharm El Sheikh: Sharm El Sheikh International Airport — Seasonal Charter; Jordan: Amman (AMM) — Queen Alia International Airport; Kuwait: Kuwait City (KWI) — Kuwait International Airport; Morocco: Casablanca (CMN) — Mohammed V International Airport; Marrakesh: Marrakesh Menara Airport — Seasonal Charter; Tangier: Tangier Ibn Battouta Airport — Seasonal Charter; Russia: Moscow (DME) — Moscow Domodedovo Airport; Saudi Arabia: Jeddah (JED) — King Abdulaziz International Airport,alexandriaairlines .com,,,"Cairo, Egypt",,,,,,,,2007 ( 2007 )
Alidaunia,D4,LID,I,0,0,ALIDA,https://images.planefinder.net/api/logo/LID/w/256,https://en.wikipedia.org/wiki/Alidaunia,,Gino Lisa Airport,,alidaunia.it,,,"Foggia , Italy",,,,,,,,1976 ( 1976 )
Alkan Air,-,AKN,C,23,0,ALKAN AIR,https://images.planefinder.net/api/logo/AKN/w/256,https://en.wikipedia.org/wiki/Alkan_Air,Canada: 3574 ; United States: BW7F467F,"Whitehorse, Yukon ; Nanaimo , British Columbia; Mayo, Yukon",,alkanair .com,,,"Whitehorse , Yukon, Canada",,,,,,,,1977
All Nippon Airways (ANA),NH,ANA,JA,221,174,ALL NIPPON,https://images.planefinder.net/api/logo/ANA/w/256,https://en.wikipedia.org/wiki/All_Nippon_Airways,,Tokyo–Haneda ; Tokyo–Narita; Osaka–Itami ; Osaka–Kansai; Fukuoka ; Nagoya–Centrair ; Naha ; Sapporo–Chitose,"Perth: Perth Airport — Passenger; Sydney: Sydney Airport — Passenger; Austria: Vienna (VIE) — Vienna International Airport; Belgium: Brussels (BRU) — Brussels Airport; Vancouver: Vancouver International Airport — Passenger; China: Beijing (PEK) — Beijing Capital International Airport; Chengdu: Chengdu Shuangliu International Airport — Suspended; Dalian: Dalian Zhoushuizi International Airport — Passenger + Cargo; Guangzhou: Guangzhou Baiyun International Airport — Passenger + Cargo; Hangzhou: Hangzhou Xiaoshan International Airport — Passenger; Qingdao: Qingdao Jiaodong International Airport — Passenger + Cargo; Shanghai: Shanghai Hongqiao International Airport — Passenger; Shenyang: Shenyang Taoxian International Airport — Suspended; Shenzhen: Shenzhen Bao'an International Airport — Passenger; Tianjin: Tianjin Binhai International Airport — Terminated; Wuhan: Wuhan Tianhe International Airport — Passenger; Xiamen: Xiamen Gaoqi International Airport — Cargo; France: Paris (CDG) — Charles de Gaulle Airport; Frankfurt: Frankfurt Airport — Passenger; Munich: Munich Airport — Passenger; Hong Kong: Hong Kong (HKG) — Hong Kong International Airport; Delhi: Indira Gandhi International Airport — Passenger; Mumbai: Chhatrapati Shivaji Maharaj International Airport — Passenger; Jakarta: Soekarno–Hatta International Airport — Passenger; Italy: Milan (MXP) — Milan Malpensa Airport; Rome: Rome Fiumicino Airport — Terminated; Japan ( Chūbu region ): Komatsu (KMQ) — Komatsu Airport; Nagoya: Chubu Centrair International Airport — Passenger; Niigata: Niigata Airport — Passenger; Shizuoka: Shizuoka Airport — Passenger; Toyama: Toyama Airport — Passenger; Wajima: Noto Airport — Passenger; Japan ( Chūgoku ): Hiroshima (HIJ) — Hiroshima Airport; Iwakuni: Iwakuni Kintaikyo Airport — Passenger; Okayama: Okayama Airport — Passenger; Ōnan: Iwami Airport — Passenger; Tottori: Tottori Airport — Passenger; Yamaguchi - Ube: Yamaguchi Ube Airport — Passenger; Yonago: Miho-Yonago Airport — Passenger; Japan ( Hokkaidō ): Asahikawa (AKJ) — Asahikawa Airport; Kushiro: Kushiro Airport — Passenger; Hakodate: Hakodate Airport — Passenger; Monbetsu: Monbetsu Airport — Passenger; Nakashibetsu: Nakashibetsu Airport — Passenger; Ōzora: Memanbetsu Airport — Passenger; Rishiri Island: Rishiri Airport — Passenger; Sapporo: New Chitose Airport — Passenger; Wakkanai: Wakkanai Airport — Passenger; Japan ( Kansai region ): Kobe (UKB) — Kobe Airport; Osaka: Kansai International Airport — Hub; Japan ( Kantō region ): Hachijō-jima (HAC) — Hachijojima Airport; Miyakejima: Miyakejima Airport — Terminated; Ōshima: Oshima Airport — Terminated; Tokyo: Haneda Airport — Hub; Japan ( Kyūshū ): Fukuoka (FUK) — Fukuoka Airport; Ishigaki: New Ishigaki Airport — Passenger; Kagoshima: Kagoshima Airport — Passenger; Kumamoto: Kumamoto Airport — Passenger; Miyakojima: Miyako Airport — Passenger; Miyazaki: Miyazaki Airport — Passenger; Nagasaki: Nagasaki Airport — Passenger; Okinawa: Naha Airport — Passenger; Ōita: Oita Airport — Passenger; Saga: Saga Airport — Passenger; Tsushima Island: Tsushima Airport — Passenger; Japan ( Shikoku ): Kōchi (KCZ) — Kōchi Airport; Matsuyama: Matsuyama Airport — Passenger; Takamatsu: Takamatsu Airport — Passenger; Tokushima: Tokushima Airport — Passenger; Japan ( Tōhoku region ): Akita (AXT) — Akita Airport; Aomori: Aomori Airport — Passenger; Fukushima: Fukushima Airport — Passenger; Odate: Odate-Noshiro Airport — Passenger; Sendai: Sendai Airport — Passenger; Shōnai: Shonai Airport — Passenger; Malaysia: Kuala Lumpur (KUL) — Kuala Lumpur International Airport; Mexico: Mexico City (MEX) — Mexico City International Airport; Yangon: Yangon International Airport — Suspended; Clark: Clark International Airport — Terminated; Manila: Ninoy Aquino International Airport — Passenger + Cargo; Vladivostok: Vladivostok International Airport — Suspended; Singapore: Singapore (SIN) — Changi Airport; South Korea: Seoul (GMP) — Gimpo International Airport; Sweden: Stockholm (ARN) — Stockholm Arlanda Airport; Taiwan: Taipei (TSA) — Songshan Airport; Samut Prakan: Suvarnabhumi Airport — Passenger + Cargo; Turkey: Istanbul (IST) — Istanbul Airport; United Kingdom: London (LHR) — Heathrow Airport; United States: Chicago (ORD) — O'Hare International Airport; Honolulu: Daniel K. Inouye International Airport — Passenger; Houston: George Bush Intercontinental Airport — Passenger; Los Angeles: Los Angeles International Airport — Passenger + Cargo; Miami: Miami International Airport — Terminated; New York City: John F. Kennedy International Airport — Passenger; San Francisco: San Francisco International Airport — Passenger; San Jose, CA: San Jose International Airport — Suspended; Seattle: Seattle–Tacoma International Airport — Passenger; Washington, D.C.: Dulles International Airport — Passenger; Vietnam: Hanoi (HAN) — Noi Bai International Airport; Ho Chi Minh City: Tan Son Nhat International Airport — Passenger + Cargo",ana.co.jp,"Shinya Katanozaka ( chairman , ANA Holdings) ; Koji Shibata (ANA chairman & ANA Holdings president & CEO) ; Shinichi Inoue (ANA president & CEO )","42,196 (2022)","Shiodome City Center , Minato, Tokyo, Japan",Star Alliance,ANA Mileage Club,¥ 1.020 trillion (2022),¥−29.090 billion (2022),¥−142.239 billion (2022),¥3.218 trillion (2022),¥803.415 billion (2022),27 December 1952 ( 1952-12-27 ) (as Japan Helicopter and Aeroplane ); February 1953 ( 1953-02 ) (as Japan Helicopter and Aeroplane ) ; December 1957 ( 1957-12 ) (as All Nippon Airways )
Allegiant Air,G4,AAY,N,124,126,ALLEGIANT,https://images.planefinder.net/api/logo/AAY/w/256,https://en.wikipedia.org/wiki/Allegiant_Air,WX0A156I,Allentown ; Appleton ; Asheville ; Bellingham (ends November 2026) ; Cincinnati ; Destin/Fort Walton Beach ; Des Moines ; Flint ; Fort Lauderdale ; Grand Rapids ; Indianapolis ; Knoxville ; Las Vegas ; Nashville ; Orlando/Sanford ; Phoenix/Mesa ; Pittsburgh ; Provo ; Punta Gorda ; Sarasota ; Savannah (ends November 2026) ; St. Petersburg/Clearwater,Akron / Canton (CAK) — Akron–Canton Airport; Albany (ALB) — Albany International Airport; Allentown (ABE) — Lehigh Valley International Airport; Appleton (ATW) — Appleton International Airport; Asheville (AVL) — Asheville Regional Airport; Atlantic City (ACY) — Atlantic City International Airport; Austin (AUS) — Austin–Bergstrom International Airport; Bangor (BGR) — Bangor International Airport; Belleville / St. Louis (BLV) — MidAmerica St. Louis Airport; Bellingham (BLI) — Bellingham International Airport; Billings (BIL) — Billings Logan International Airport; Bismarck (BIS) — Bismarck Municipal Airport; Bloomington (BMI) — Central Illinois Regional Airport; Boise (BOI) — Boise Airport; Boston (BOS) — Logan International Airport; Bozeman (BZN) — Bozeman Yellowstone International Airport; Bristol (TRI) — Tri-Cities Regional Airport; Burbank (BUR) — Hollywood Burbank Airport; Cedar Rapids (CID) — Eastern Iowa Airport; Charleston (CHS) — Charleston International Airport; Charlotte (USA) — Concord Regional Airport; Chattanooga (CHA) — Chattanooga Metropolitan Airport; Chicago (MDW) — Midway International Airport; Chicago / Rockford (RFD) — Chicago Rockford International Airport; Cincinnati (CVG) — Cincinnati/Northern Kentucky International Airport; Clarksburg (CKB) — North Central West Virginia Airport; Colorado Springs (COS) — Colorado Springs Airport; Columbia (COU) — Columbia Regional Airport; Columbia (CAE) — Columbia Metropolitan Airport; Columbus (LCK) — Rickenbacker International Airport; Dayton (DAY) — Dayton International Airport; Denver (DEN) — Denver International Airport; Des Moines (DSM) — Des Moines International Airport; Destin / Fort Walton Beach (VPS) — Destin–Fort Walton Beach Airport; Elmira (ELM) — Elmira/Corning Regional Airport; Eugene (EUG) — Eugene Airport; Evansville (EVV) — Evansville Regional Airport; Fargo (FAR) — Hector International Airport; Fayetteville (XNA) — Northwest Arkansas Regional Airport; Flint (FNT) — Bishop International Airport; Fort Lauderdale (FLL) — Fort Lauderdale–Hollywood International Airport; Fort Myers (RSW) — Southwest Florida International Airport; Fort Wayne (FWA) — Fort Wayne International Airport; Fresno (FAT) — Fresno Yosemite International Airport; Grand Forks (GFK) — Grand Forks International Airport; Grand Island (GRI) — Central Nebraska Regional Airport; Grand Rapids (GRR) — Gerald R. Ford International Airport; Great Falls (GTF) — Great Falls International Airport; Greensboro (GSO) — Piedmont Triad International Airport; Greenville (GSP) — Greenville–Spartanburg International Airport; Gulf Shores (GUF) — Jack Edwards Airport; Hagerstown (HGR) — Hagerstown Regional Airport; Harrisburg (MDT) — Harrisburg International Airport; Houston (HOU) — William P. Hobby Airport; Huntington (HTS) — Tri-State Airport; Huntsville (HSV) — Huntsville International Airport; Idaho Falls (IDA) — Idaho Falls Regional Airport; Indianapolis (IND) — Indianapolis International Airport; Jacksonville (JAX) — Jacksonville International Airport; Kalispell (FCA) — Glacier Park International Airport; Kansas City (MCI) — Kansas City International Airport; Key West (EYW) — Key West International Airport; Knoxville (TYS) — McGhee Tyson Airport; La Crosse (LSE) — La Crosse Regional Airport; Laredo (LRD) — Laredo International Airport; Las Vegas (LAS) — Harry Reid International Airport; Lexington (LEX) — Blue Grass Airport; Little Rock (LIT) — Clinton National Airport; Louisville (SDF) — Louisville International Airport; McAllen (MFE) — McAllen Miller International Airport; Medford (MFR) — Rogue Valley International–Medford Airport; Melbourne / Orlando (MLB) — Melbourne Orlando International Airport; Memphis (MEM) — Memphis International Airport; Minneapolis / St. Paul (MSP) — Minneapolis–Saint Paul International Airport; Minot (MOT) — Minot International Airport; Missoula (MSO) — Missoula International Airport; Moline (MLI) — Quad Cities International Airport; Monterey (MRY) — Monterey Regional Airport; Myrtle Beach (MYR) — Myrtle Beach International Airport; Nashville (BNA) — Nashville International Airport; New Orleans (MSY) — Louis Armstrong New Orleans International Airport; Newark (EWR) — Newark Liberty International Airport; Newburgh (SWF) — Stewart International Airport; Niagara Falls (IAG) — Niagara Falls International Airport; Norfolk (ORF) — Norfolk International Airport; Oakland (OAK) — Oakland San Francisco Bay Airport; Oklahoma City (OKC) — Will Rogers World Airport; Omaha (OMA) — Eppley Airfield; Orange County/Santa Ana (SNA) — John Wayne Airport; Orlando (MCO) — Orlando International Airport; Orlando / Sanford (SFB) — Orlando Sanford International Airport; Owensboro (OWB) — Owensboro–Daviess County Regional Airport; Palm Springs (PSP) — Palm Springs International Airport; Pasco (PSC) — Tri-Cities Airport; Peoria (PIA) — General Wayne A. Downing Peoria International Airport; Philadelphia (PHL) — Philadelphia International Airport; Phoenix (PHX) — Phoenix Sky Harbor International Airport; Phoenix / Mesa (AZA) — Phoenix–Mesa Gateway Airport; Pittsburgh (PIT) — Pittsburgh International Airport; Plattsburgh (PBG) — Plattsburgh International Airport; Portland (PDX) — Portland International Airport; Portsmouth (PSM) — Portsmouth International Airport at Pease; Providence (PVD) — T. F. Green Airport; Provo (PVU) — Provo Municipal Airport; Punta Gorda (PGD) — Punta Gorda Airport; Rapid City (RAP) — Rapid City Regional Airport; Richmond (RIC) — Richmond International Airport; Roanoke (ROA) — Roanoke–Blacksburg Regional Airport; Rochester (ROC) — Greater Rochester International Airport; Santa Maria (SMX) — Santa Maria Public Airport; Sarasota (SRQ) — Sarasota–Bradenton International Airport; Savannah (SAV) — Savannah/Hilton Head International Airport; Shreveport (SHV) — Shreveport Regional Airport; Sioux Falls (FSD) — Sioux Falls Regional Airport; South Bend (SBN) — South Bend International Airport; Spokane (GEG) — Spokane International Airport; Springfield (SPI) — Abraham Lincoln Capital Airport; Springfield (SGF) — Springfield–Branson National Airport; St. Cloud (STC) — St. Cloud Regional Airport; St. Petersburg (PIE) — St. Pete–Clearwater International Airport; Stockton (SCK) — Stockton Metropolitan Airport; Syracuse (SYR) — Syracuse Hancock International Airport; Toledo (TOL) — Toledo Express Airport; Traverse City (TVC) — Cherry Capital Airport; Trenton (TTN) — Trenton–Mercer Airport; Tulsa (TUL) — Tulsa International Airport; Washington D.C. / Northern Virginia (IAD) — Dulles International Airport; West Palm Beach (PBI) — Palm Beach International Airport; Wichita (ICT) — Wichita Dwight D. Eisenhower National Airport,allegiantair.com,Gregory C. Anderson ( CEO ),,"1201 North Town Center Drive ; Las Vegas , Nevada, United States",,Allways Rewards,,,,,,January 1997 ( 1997-01 ); June 1998 ( 1998-06 )
Alliance Air,9I,LLR,VT,11,39,ALLIED,https://images.planefinder.net/api/logo/LLR/w/256,https://en.wikipedia.org/wiki/Alliance_Air_%28India%29,,Chhatrapati Shivaji Maharaj International Airport ( Mumbai ) ; Chennai International Airport ( Chennai ) ; Indira Gandhi International Airport ( Delhi ) ; Kempegowda International Airport ( Bengaluru ) ; Netaji Subhas Chandra Bose International Airport ( Kolkata ) ; Rajiv Gandhi International Airport ( Hyderabad ),Tirupati (TIR) — Tirupati Airport; Visakhapatnam Airport — Terminated; Itanagar (HGI) — Itanagar Airport; Dibrugarh (DIB) — Dibrugarh Airport; Chandigarh (IXC) — Shaheed Bhagat Singh International Airport; Bilaspur (PAB) — Bilaspur Airport; Diu (DIU) — Diu Airport; Delhi (DEL) — Indira Gandhi International Airport; Goa (GOI) — Dabolim Airport; Ahmedabad (AMD) — Sardar Vallabhbhai Patel International Airport; Hisar (HSS) — Hisar Airport; Dharamshala (DHM) — Kangra Airport; Jammu (IXJ) — Jammu Airport; Ranchi (IXR) — Birsa Munda Airport; Ballari (VDY) — Jindal Vijaynagar Airport; Kempegowda International Airport — Hub; Belgaum Airport — Terminated; Kalaburagi Airport — Terminated; Hubli Airport — Terminated; Mangalore International Airport — Terminated; Mysore Airport — Terminated; Kochi (COK) — Cochin International Airport; Agatti (AGX) — Agatti Airport; Bhopal (BHO) — Raja Bhoj Airport; Mumbai (BOM) — Chhatrapati Shivaji Maharaj International Airport; Kolhapur Airport — Terminated; Imphal (IMF) — Imphal Airport; Shillong (SHL) — Shillong Airport; Aizawl (AJL) — Aizawl Airport; Dimapur (DMU) — Dimapur Airport; Bhubaneswar (BBI) — Biju Patnaik Airport; Amritsar (ATQ) — Sri Guru Ram Dass Jee International Airport; Ludhiana Airport — Terminated; Pathankot Airport — Terminated; Bikaner (BKB) — Bikaner Airport; Jaipur International Airport — Hub; Jaisalmer Airport — Seasonal; Chennai (MAA) — Chennai International Airport; Coimbatore International Airport — Terminated; Madurai Airport — Terminated; Tiruchirappalli International Airport — Terminated; Hyderabad (HYD) — Rajiv Gandhi International Airport; Ayodhya (AYJ) — Ayodhya Airport; Dehradun (DED) — Dehradun Airport; Kolkata (CCU) — Netaji Subhas Chandra Bose International Airport,www .allianceair .in,"Rajarshi Sen, CEO",835 (as of 31 March 2022),"Delhi , India",,,₹ 72.41 billion (US$760 million) (FY 2021-22),₹ −44.64 billion (US$−470 million) (FY 2021-22),₹ −44.74 billion (US$−470 million) (FY 2021-22),,₹ 280.50 billion (US$2.9 billion) (FY 2021-22),15 April 1996 ( 1996-04-15 )
Alliance Airlines,QQ,UTY,VH,82,31,UNITY,https://images.planefinder.net/api/logo/UTY/w/256,https://en.wikipedia.org/wiki/Alliance_Airlines,,Adelaide ; Brisbane ; Cairns ; Darwin ; Perth ; Rockhampton ; Townsville,"Australia ( Australian Capital Territory ): Canberra (CBR) — Canberra Airport; Australia ( Christmas Island ): Christmas Island (XCH) — Christmas Island Airport; Australia ( Cocos (Keeling) Islands ): West Island (CCK) — Cocos (Keeling) Islands Airport; Australia ( New South Wales ): Albury (ABX) — Albury Airport; Bathurst: Bathurst Airport — Terminated; Cooma: Cooma-Snowy Mountains Airport — Seasonal; Lord Howe Island: Lord Howe Island Airport — Terminated; Narrabri: Narrabri Airport — Terminated; Sydney: Sydney Airport — Hub; Taree: Taree Airport — Terminated; Wollongong: Shellharbour Airport — Terminated; Australia ( Norfolk Island ): Norfolk Island (NLK) — Norfolk Island Airport; Australia ( Northern Territory ): Alice Springs (ASP) — Alice Springs Airport; Darwin: Darwin International Airport — Focus city; Gove: Gove Airport — Terminated; Biloela: Biloela Airport — Terminated; Blackwater: Blackwater Airport — Terminated; Brisbane: Brisbane Airport — Hub; Cairns: Cairns Airport — Focus city; Charleville: Charleville Airport — Terminated; Dunk Island: Dunk Island Airport — Terminated; Hayman Island: − — Terminated; Roma: Roma Airport — Terminated; Winton: Winton Airport — Terminated; Australia ( South Australia ): Adelaide (ADL) — Adelaide Airport; Australia ( Tasmania ): Burnie (BWT) — Burnie Airport; Hobart: Hobart Airport — Focus city; Australia ( Victoria ): Bendigo (BXG) — Bendigo Airport; Melbourne: Melbourne Airport — Hub; Mount Hotham: Mount Hotham Airport — Terminated; Australia ( Western Australia ): Broome (BME) — Broome International Airport; Perth: Perth Airport — Hub; Tom Price: Tom Price Airport — Terminated; Chile: Santiago (SCL) — Arturo Merino Benítez International Airport; Shanghai: Shanghai Pudong International Airport — Terminated; Fiji: Nadi (NAN) — Nadi International Airport; France: Paris (CDG) — Charles de Gaulle Airport; Hong Kong: Hong Kong (HKG) — Hong Kong International Airport; India: Bengaluru (BLR) — Kempegowda International Airport; Kolkata: Netaji Subhas Chandra Bose International Airport — Terminated; Mumbai: Chhatrapati Shivaji Maharaj International Airport — Terminated; Indonesia: Denpasar (DPS) — Ngurah Rai International Airport; Italy: Rome (FCO) — Leonardo da Vinci–Fiumicino Airport; Nagoya: Nagoya Komaki Airport — Terminated; Osaka: Kansai International Airport — Terminated; Sapporo: New Chitose Airport — Seasonal; Mexico City: Mexico City International Airport — Terminated; New Caledonia: Nouméa (NOU) — La Tontouta International Airport; New Zealand: Auckland (AKL) — Auckland Airport; Rotorua: Rotorua Airport — Terminated; Palau: Koror (ROR) — Palau International Airport; Lae: Lae Airfield — Terminated; Madang: Madang Airport — Terminated; Rabaul: Rabaul Airport — Terminated; Wau: Wau Airport — Terminated; Philippines: Manila (MNL) — Ninoy Aquino International Airport; Samoa: Apia (APW) — Faleolo International Airport; Singapore: Singapore (SIN) — Changi Airport; Solomon Islands: Honiara (HIR) — Honiara International Airport; South Africa: Johannesburg (JNB) — O. R. Tambo International Airport; Timor-Leste: Dili (DIL) — Presidente Nicolau Lobato International Airport; Tonga: Nukuʻalofa (TBU) — Fuaʻamotu International Airport; United Kingdom: London (LHR) — Heathrow Airport; Manchester: Manchester Airport — Terminated; Boston: Logan International Airport — Terminated; Chicago: O'Hare International Airport — Terminated; Las Vegas: Harry Reid International Airport — Begins 29 December 2026; Washington, D.C.: Dulles International Airport — Terminated; Vanuatu: Port Vila (VLI) — Bauerfield International Airport",www .allianceairlines .com .au,Scott McMillan ( Managing Director) ; Stewart Tully (Chief Executive Officer),,"Brisbane , Queensland , Australia",,,,,,,,5 April 2002 ( 2002-04-05 )
Allied Air,4W,AJK,5N,1,13,BAMBI,https://images.planefinder.net/api/logo/AJK/w/256,https://en.wikipedia.org/wiki/Allied_Air,,Murtala Mohammed International Airport,,www .alliedairng .com,Val Tongo ( CEO ),,"Lagos, Nigeria",,,,,,,,1998
AlMasria Universal Airlines,UJ,LMU,SU,8,2,ALMASRIA,https://images.planefinder.net/api/logo/LMU/w/256,https://en.wikipedia.org/wiki/AlMasria_Universal_Airlines,,Cairo International Airport,Egypt: Alexandria (HBE) — Borg El Arab Airport; Cairo: Cairo International Airport — Hub; Sharm El Sheikh: Sharm El Sheikh International Airport — Focus city; Italy: Milan (BGY) — Orio al Serio International Airport; Russia: Chelyabinsk (CEK) — Balandino Airport; Kaliningrad: Khrabrovo Airport — Seasonal charter; Kazan: Ğabdulla Tuqay Kazan International Airport — Seasonal charter; Krasnodar: Krasnodar International Airport — Seasonal charter; Orenburg: Yuri Gagarin Orenburg International Airport — Seasonal charter; Perm: Bolshoye Savino Airport — Seasonal charter; Saint Petersburg: Pulkovo Airport — Seasonal charter; Tyumen: Roshchino Airport — Seasonal charter; Volgograd: Gumrak Airport — Seasonal charter; Saudi Arabia: Al-Qassim Region (ELQ) — Prince Nayef bin Abdulaziz International Airport; Turkey: Istanbul (IST) — Istanbul Airport,www .almasriaairlines .com,Ahmed Ismail (Chairman) ; Ahmed Gadallah (President & CEO),,"Cairo, Egypt",,,,,,,,2008
Aloha Air Cargo,KH,AAH,N,4,5,ALOHA,https://images.planefinder.net/api/logo/AAH/w/256,https://en.wikipedia.org/wiki/Aloha_Air_Cargo,TSAA174M,Daniel K. Inouye International Airport,,alohaaircargo .com,Betsy Seaton ( President & CEO ),,"Honolulu , Hawaii",,,,,,,,"July 26, 1946 ( 1946-07-26 ) (as Trans-Pacific Airlines ); May 15, 2008 ( 2008-05-15 ) (spinoff from the collapsed Aloha Airlines )"
AlpAvia,AL,APP,S5,0,0,ALPAVIA,https://images.planefinder.net/api/logo/APP/w/256,https://en.wikipedia.org/wiki/Timeline_of_Tbilisi,,,,,,,,,,,,,,,
Alphaland Aviation,-,BIC,RP,2,0,BALESIN,https://images.planefinder.net/api/logo/BIC/w/256,https://en.wikipedia.org/wiki/E._L._Tordesillas_Airport,,,,,,,,,,,,,,,
Alpine Air Express,5A,AIP,N,64,3,ALPINE AIR,https://images.planefinder.net/api/logo/AIP/w/256,https://en.wikipedia.org/wiki/Alpine_Air_Express,,Billings ; Denver ; Salt Lake City ; Sioux Falls,,alpine-air .com,Michael Dancy (CEO) ; Bob Frisch (COO) ; Kevin Wade (CFO),,"Provo, Utah , United States",,,,,,,,1971 ( 1971 )
Alrosa Air Company,6R,DRU,RA,37,10,MIRNY,https://images.planefinder.net/api/logo/DRU/w/256,https://en.wikipedia.org/wiki/Alrosa_%28airline%29,,Mirny Airport ; Polyarny Airport,,alrosa.aero,,,"Mirny , Russia",,,,,,,,2000 ( 2000 )
ALS Ltd,K4,ALW,5Y,0,3,,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Aircraft_Leasing_Services,,Wilson Airport,,als .co .ke,,200+,"Nairobi , Kenya",,,,,,,,
Alsie Express,6I,MMD,OY,19,7,,https://images.planefinder.net/api/logo/MMD/w/256,https://en.wikipedia.org/wiki/Alsie_Express,,Sønderborg Airport,,www .alsieexpress .com,,,"Sønderborg, Denmark",,,,,,,,2013 ( 2013 )
Amakusa Airlines,MZ,AHX,JA,1,4,AMAKUSA AIR,https://images.planefinder.net/api/logo/AHX/w/256,https://en.wikipedia.org/wiki/Amakusa_Airlines,,Amakusa Airfield; Kumamoto Airport,Amakusa (AXJ) — Amakusa Airfield; Fukuoka (FUK) — Fukuoka Airport; Kumamoto (KMJ) — Kumamoto Airport; Osaka (ITM) — Itami Airport,www .amx .co .jp,Toru Okushima ( CEO ),,"Amakusa , Kumamoto Prefecture , Japan",,,,,,,,"October 12, 1998 ( 1998-10-12 ); March 23, 2000 ( 2000-03-23 )"
Amapola Flyg,HP,APF,SE,6,10,AMAPOLA,https://images.planefinder.net/api/logo/APF/w/256,https://en.wikipedia.org/wiki/PopulAir,SE.AOC.0057,Stockholm Arlanda Airport,Sweden: Arvidsjaur (AJR) — Arvidsjaur Airport; Jönköping: Jönköping Airport — Part of Jönköping-Oslo-Trondheim freight route; Stockholm: Stockholm Arlanda Airport — Base; Finland: Mariehamn (MHQ) — Mariehamn Airport; Norway: Oslo (OSL) — Gardermoen Airport; Trondheim: Trondheim Airport — From 2026 (freight),www .populair .com,,,"Stockholm Arlanda Airport , Sweden",,,,,,,,2004 ( 2004 )
Amaszonas,Z8,AZN,CP,0,0,AMASZONAS,https://images.planefinder.net/api/logo/AZN/w/256,https://en.wikipedia.org/wiki/L%C3%ADnea_A%C3%A9rea_Amaszonas,791F491F,El Alto International Airport; Viru Viru International Airport,Cochabamba: Bolivia (CBB) — Jorge Wilstermann International Airport; El Alto International Airport: La Paz — Hub; Juan Mendoza Airport: Oruro — Terminated; Rurrenabaque Airport: Rurrenabaque — Terminated; Viru Viru International Airport: Santa Cruz de la Sierra — Focus city; Capitán Oriel Lea Plaza Airport: Tarija — Terminated; Teniente Jorge Henrich Arauz Airport: Trinidad — Terminated; Uyuni Airport: Uyuni — Terminated; Yacuiba Airport: Yacuiba — Terminated; Captain Aníbal Arab Airport: Cobija — Terminated; Santa Ana del Yacuma Airport: Santa Ana del Yacuma — Terminated; Iquique: Chile (IQQ) — Diego Aracena International Airport; Asunción: Paraguay (ASU) — Silvio Pettirossi International Airport; Guaraní International Airport: Ciudad del Este — Terminated; Alejandro Velasco Astete International Airport: Cusco — Terminated; Capitán de Corbeta Carlos A. Curbelo International Airport: Punta del Este — Terminated,www .amaszonas .com,Luis Divino (Owner) ; Mauricio Souza ( CEO ),,"Santa Cruz de la Sierra , Bolivia",,AmasMiles,,,,,,"October 1, 1998; 2000"
