IATA,ICAO,MTOW (kg),MZFW (kg),Empty_Weight (kg),Wingspan (m),Length (m),Height (m)
74N,B748,,,,,,
74R,B74R,,,,,,
74T,B741,,,,,,
74U,B743,,,,,,
74V,B74R,,,,,,
74X,B742,,,,,,
74Y,B744,,,,,,
752,B752,,,,,,
753,B753,,,,,,
757,,,,,,,
75F,B752,,,,,,
75M,B752,,,,,,
75T,B753,,,,,,
75W,B752,,,,,,
762,B762,,,,,,
763,B763,,,,,,
764,B764,,,,,,
767,,,,,,,
76F,,,,,,,
76V,B763,,,,,,
76W,B763,,,,,,
76X,B762,,,,,,
76Y,B763,,,,,,
772,B77L,,,,,,
773,B773,,,,,,
777,,,,,,,
77F,,,,,,,
77L,B772,,,,,,
77W,B77W,,,,,,
77X,B772,,,,,,
781,B78X,,,,,,
783,B783,,,,,,
787,,,,,,,
788,B788,,,,,,
789,B789,,,,,,
7M7,B37M,,,,,,
7M8,B38M,,,,,,
7M9,B39M,,,,,,
7MJ,B3XM,,,,,,
A22,AN22,,,,,,
A26,AN26,,,,,,
A28,AN28,,,,,,
A30,AN30,,,,,,
A32,AN32,,,,,,
A38,AN38,,,,,,
A40,A140,,,,,,
A4F,A124,,,,,,
A58,ZZZZ,,,,,,
A5F,A225,,,,,,
A81,A148,,,,,,
AB2,,,,,,,
AB3,,,,,,,
AB4,A30B,,,,,,
AB6,A306,,,,,,
ABB,A3ST,,,,,,
ABF,,,,,,,
ABM,,,,,,,
ABX,A30B,,,,,,
ABY,A306,,,,,,
ACD,,,,,,,
ACP,*,,,,,,
ACT,*,,,,,,
AGH,A109,,,,,,
ALM,,,,,,,
AMD,,,,,,,
AN2,,,,,,,
AN4,AN24,,,,,,
AN6,,,,,,,
AN7,AN72,,,,,,
ANF,AN12,,,,,,
APF,ZZZZ,,,,,,
APH,*,,,,,,
AR1,RJ1H,,,,,,
AR7,RJ70,,,,,,
AR8,RJ85,,,,,,
ARJ,,,,,,,
ARX,,,,,,,
AT4,AT43,,,,,,
AT5,AT45,,,,,,
AT7,AT72,,,,,,
ATD,AT44,,,,,,
ATF,AT72,,,,,,
ATP,ATP,,,,,,
ATR,,,,,,,
ATZ,*,,,,,,
AWH,A139,,,,,,
AX1,RX1H,,,,,,
AX8,RX85,,,,,,
B11,,,,,,,
B12,BA11,,,,,,
B13,BA11,,,,,,
B14,BA11,,,,,,
B15,BA11,,,,,,
B72,B720,,,,,,
BE1,,,,,,,
BE2,*,,,,,,
BE4,BE40,,,,,,
BE9,BE99,,,,,,
BEC,,,,,,,
BEF,B190,,,,,,
BEH,B190,,,,,,
BEP,*,,,,,,
BES,B190,,,,,,
BET,*,,,,,,
BH2,*,,,,,,
BNI,BN2P,,,,,,
BNT,TRIS,,,,,,
BTA,ZZZZ,,,,,,
BUS,0000,,,,,,
C27,AJ27,,,,,,
C9B,,,,,,,
CCJ,CL60,,,,,,
CCX,GLEX,,,,,,
CD2,NOMA,,,,,,
CJ1,*,,,,,,
CJ2,*,,,,,,
CJ5,*,,,,,,
CJ6,*,,,,,,
CJ8,*,,,,,,
CJL,*,,,,,,
CJM,C510,,,,,,
CL3,CL30,,,,,,
CL4,,,,,,,
CN1,*,,,,,,
CN2,*,,,,,,
CN7,C750,,,,,,
CNA,,,,,,,
CNC,*,,,,,,
CNF,*,,,,,,
CNJ,*,,,,,,
CNT,*,,,,,,
CR1,CRJ1,,,,,,
CR2,CRJ2,,,,,,
CR7,CRJ7,,,,,,
CR9,CRJ9,,,,,,
CRA,CRJ9,,,,,,
CRF,ZZZZ,,,,,,
CRJ,,,,,,,
CRK,CRJX,,,,,,
CRV,,,,,,,
CS1,ZZZZ,,,,,,
CS2,C212,,,,,,
CS3,ZZZZ,,,,,,
CS5,CN35,,,,,,
CV2,CVLP,,,,,,
CV4,CVLP,,,,,,
CV5,CVLT,,,,,,
CV6,,,,,,,
CVF,,,,,,,
CVR,,,,,,,
CVV,CVLP,,,,,,
CVX,CVLP,,,,,,
CVY,CVLT,,,,,,
CWC,C46,,,,,,
D10,,,,,,,
D11,DC10,,,,,,
D14,,,,,,,
D1C,DC10,,,,,,
D1F,,,,,,,
D1M,DC10,,,,,,
D1X,DC10,,,,,,
D1Y,DC10,,,,,,
D20,F2TH,,,,,,
D28,D228,,,,,,
D2L,F2TH,,,,,,
D38,D328,,,,,,
D3F,DC3,,,,,,
D42,DA42,,,,,,
D4X,DH8D,,,,,,
D6F,DC6,,,,,,
D85,,,,,,,
D86,,,,,,,
D87,,,,,,,
D8A,,,,,,,
D8B,,,,,,,
D8F,,,,,,,
D8L,DC86,,,,,,
D8M,DC86,,,,,,
D8Q,DC87,,,,,,
D8T,DC85,,,,,,
D8X,DC86,,,,,,
D8Y,DC87,,,,,,
D91,DC91,,,,,,
D92,DC92,,,,,,
D93,DC93,,,,,,
D94,DC94,,,,,,
D95,DC95,,,,,,
D9C,DC93,,,,,,
D9D,DC94,,,,,,
D9F,,,,,,,
D9L,F900,,,,,,
D9X,DC91,,,,,,
DC3,DC3,,,,,,
DC4,DC4,,,,,,
DC6,DC6,,,,,,
DC8,,,,,,,
DC9,,,,,,,
DF1,FA10,,,,,,
DF2,FA20,,,,,,
DF3,,,,,,,
DF5,FA50,,,,,,
DF7,FA7X,,,,,,
DF9,F900,,,,,,
DFL,,,,,,,
DH1,DH8A,,,,,,
DH2,DH8B,,,,,,
DH3,DH8C,,,,,,
DH4,DH8D,,,,,,
DH7,DHC7,,,,,,
DH8,,,,,,,
DHB,,,,,,,
DHC,DHC4,,,,,,
DHD,DOVE,,,,,,
DHF,0000,,,,,,
DHH,HERN,,,,,,
DHL,DH3T,,,,,,
DHO,,,,,,,
DHP,DHC2,,,,,,
DHR,DH2T,,,,,,
DHS,DHC3,,,,,,
DHT,DHC6,,,,,,
E70,E170,,,,,,
E75,E170,,,,,,
E90,E190,,,,,,
E95,E190,,,,,,
EA5,EA50,,,,,,
EC3,EC30,,,,,,
EM2,E120,,,,,,
EMB,E110,,,,,,
EMJ,,,,,,,
EP1,E50P,,,,,,
EP3,E55P,,,,,,
ER3,E135,,,,,,
ER4,E145,,,,,,
ERD,E135,,,,,,
ERJ,,,,,,,
F21,F28,,,,,,
F22,F28,,,,,,
F23,F28,,,,,,
F24,F28,,,,,,
F27,F27,,,,,,
F28,,,,,,,
F50,F50,,,,,,
F5F,F50,,,,,,
F70,F70,,,,,,
FA7,,,,,,,
FK7,F27,,,,,,
FR3,,,,,,,
FR4,,,,,,,
FRJ,J328,,,,,,
GA8,GA8,,,,,,
GR1,G150,,,,,,
GR2,GALX,,,,,,
GR3,G250,,,,,,
GRG,G21,,,,,,
GRJ,*,,,,,,
GRM,G73T,,,,,,
GRS,G159,,,,,,
H20,ZZZZ,,,,,,
H21,H25C,,,,,,
H24,HA4T,,,,,,
H25,H25B,,,,,,
H28,H25B,,,,,,
H29,H25B,,,,,,
HEC,COUR,,,,,,
HOV,0000,,,,,,
HS7,A748,,,,,,
I14,I114,,,,,,
I93,,,,,,,
I9F,IL96,,,,,,
I9M,,,,,,,
I9X,,,,,,,
I9Y,,,,,,,
IL6,IL62,,,,,,
IL7,IL76,,,,,,
IL8,IL18,,,,,,
IL9,IL96,,,,,,
ILW,IL86,,,,,,
J31,JS31,,,,,,
J32,JS32,,,,,,
J41,JS41,,,,,,
JST,,,,,,,
JU5,JU52,,,,,,
L10,,,,,,,
L11,L101,,,,,,
L15,L101,,,,,,
L1F,L101,,,,,,
L49,,,,,,,
L4F,L410,,,,,,
L4T,L410,,,,,,
LCH,0000,,,,,,
LJA,ZZZZ,,,,,,
LMO,0000,,,,,,
LOE,L188,,,,,,
LOF,L188,,,,,,
LOH,C130,,,,,,
LOM,,,,,,,
LRJ,*,,,,,,
M11,MD11,,,,,,
M1F,MD11,,,,,,
M1M,MD11,,,,,,
M2F,MD82,,,,,,
M3F,MD83,,,,,,
M80,,,,,,,
M81,MD81,,,,,,
M82,MD82,,,,,,
M83,MD83,,,,,,
M87,MD87,,,,,,
M88,MD88,,,,,,
M8F,MD88,,,,,,
M90,MD90,,,,,,
M95,,,,,,,
MA6,AN24,,,,,,
MBH,B105,,,,,,
MD9,EXPL,,,,,,
MIH,MI8,,,,,,
MU2,MU2,,,,,,
ND2,,,,,,,
NDC,S601,,,,,,
NDE,*,,,,,,
NDH,*,,,,,,
P18,P180,,,,,,
PA1,*,,,,,,
PA2,*,,,,,,
PAG,,,,,,,
PAT,*,,,,,,
PL2,PC12,,,,,,
PL6,PC6T,,,,,,
PN6,P68,,,,,,
PRI,PRM1,,,,,,
RFS,0000,,,,,,
S20,SB20,,,,,,
S58,S58T,,,,,,
S61,S61,,,,,,
S76,S76,,,,,,
SF3,SF34,,,,,,
SFB,SF34,,,,,,
SFF,SF34,,,,,,
SH3,SH33,,,,,,
SH6,SH36,,,,,,
SHB,,,,,,,
SHS,SC7,,,,,,
SSC,,,,,,,
SU1,,,,,,,
SU7,ZZZZ,,,,,,
SU9,SU95,,,,,,
SWF,*,,,,,,
SWM,*,,,,,,
SY8,AN12,,,,,,
T20,T204,,,,,,
T2F,T204,,,,,,
T34,T334,,,,,,
TBM,TBM7,,,,,,
TRN,0000,,,,,,
TU3,T134,,,,,,
TU5,T154,,,,,,
VCV,,,,,,,
VCX,,,,,,,
WWP,WW24,,,,,,
YK2,YK42,,,,,,
YK4,YK40,,,,,,
YN2,Y12,,,,,,
YN7,AN24,,,,,,
YS1,YS11,,,,,,
,A337,,,,,,
A25,A225,,,,,,
,BE58,,,,,,
,BE55,,,,,,
778,B778,,,,,,
779,B779,,,,,,
78J,B78X,,,,,,
,CL2T,,,,,,
,CL30,,,,,,
,C152,,,,,,
,C919,,,,,,
E7W,E75L,,,,,,
E7W,E75S,,,,,,
,E545,,,,,,
GJ6,GLF6,,,,,,
GJ4,GLF4,,,,,,
GJ5,GLF5,,,,,,
,P28B,,,,,,
,P28A,,,,,,
,PA44,,,,,,
S92,S92,,,,,,
,T144,,,,,,
