Model_ID,Name,Origin,Role,IATA_Type_Ref
beech76duchess,Beech 76 Duchess,United States of America,Four place light twin,
beech77skipper,Beech 77 Skipper,United States of America,Two seat pilot training aircraft,
beech99airliner,Beech 99 Airliner,United States of America,Commuter airliner,
bell204205214b,Bell 204/205/214B,United States of America,Medium Lift Utility helicopter,
bell206jetranger,Bell 206 JetRanger,United States of America,Light utility helicopter,
bell206llongranger,Bell 206L LongRanger,United States of America,Light utility helicopter,
bell206lttwinrangertridairgeminist,Bell 206LT TwinRanger & Tridair Gemini ST,United States of America & Canada,Twin engine light utility helicopters,
bell212twintwotwelve,Bell 212 Twin TwoTwelve,United States of America and Canada,Medium lift utility helicopter,
bell214stsupertransport,Bell 214ST SuperTransport,United States of America,Medium transport helicopter,
bell222230,Bell 222 & 230,Canada and USA,Twin engine light utility helicopters,
bell407,Bell 407,Canada and USA,Seven place utility helicopter,
bell412,Bell 412,United States of America and Canada,Medium lift utility helicopter,
bell427,Bell 427,"Canada, USA and South Korea",Light twin utility helicopter,
bell430,Bell 430,Canada and USA,Twin engine intermediate size helicopter,
bell47,Bell 47,United States of America,Two or three seat light utility helicopter,
bellagustaba609,Bell-Agusta BA-609,United States of America,Six to nine seat corporate/utility tiltrotor,
berievbe200,Beriev Be-200,Russia,Firefighting and multirole amphibian,
berievbe3032,Beriev Be-30/32,Russia,Regional airliner and utility transport,
boeing707,Boeing 707,United States of America,Medium to long range airliner and freighter,
boeing717,Boeing 717,United States of America,Short to medium range airliner,
boeing720,Boeing 720,United States of America,Medium range narrowbody airliner,
boeing727100,Boeing 727-100,United States of America,Short to medium range narrowbody airliner,
boeing727200,Boeing 727-200,United States of America,Short to medium range narrowbody airliner,
boeing737100200,Boeing 737-100/200,United States of America,Short range narrowbody airliner,
boeing737300,Boeing 737-300,United States of America,Short to medium range narrowbody airliner,
boeing737400,Boeing 737-400,United States of America,Short to medium range airliner,
boeing737500,Boeing 737-500,United States of America,Short to medium range airliner,
boeing737600700,Boeing 737-600/700,United States of America,Short to medium range airliners,
boeing737700800bbjbbj2,Boeing 737-700/800 BBJ/BBJ2,United States of America,Long range large capacity corporate jet,
boeing737800900,Boeing 737-800/900,United States of America,Short to medium range airliners,
boeing747100200,Boeing 747-100 & 200,United States of America,Long range high capacity widebody airliners,
boeing747300,Boeing 747-300,United States of America,Long range high capacity widebody airliner,
boeing747400,Boeing 747-400,United States of America,Long range high capacity widebody airliner,
boeing747sp,Boeing 747SP,United States of America,Long range high capacity widebody airliner,
boeing757200,Boeing 757-200,United States of America,Medium range narrowbody airliner,
boeing757300,Boeing 757-300,United States of America,Medium range narrowbody airliner,
boeing767200,Boeing 767-200,United States of America,Medium to long range widebody airliner,
boeing767300,Boeing 767-300,United States of America,Medium to long range widebody airliner,
boeing767400,Boeing 767-400,United States of America,Long range widebody airliner,
boeing777200,Boeing 777-200,United States of America,Long and ultra long range widebody airliners,
boeing777300,Boeing 777-300,United States of America,Long range high capacity widebody airliner,
boeing7878dreamliner,Boeing 787-8 Dreamliner,United States of America,Long range widebody airliner,
boeingb17flyingfortress,Boeing B-17 Flying Fortress,United States of America,Four-Engined Long Range Heavy Bomber,
boeingc97stratofreighter,Boeing C-97 Stratofreighter,United States of America,Freighter,
boeingcommercialchinook,Boeing Commercial Chinook,United States of America,Heavylift utility and airliner helicopter,
boeingmdexplorer,Boeing MD Explorer,United States of America,Light twin helicopter,
boeingstearman,Boeing Stearman,United States of America,"Two seat sport, utility and agricultural biplane",
boeingvertolkawasakikv107,Boeing Vertol (Kawasaki) KV 107,United States of America,Medium to heavylift utility helicopter,
bombardierbd100challenger300,Bombardier BD-100 Challenger 300,Canada,Super mid size corporate jet,
bombardierbd700globalexpress,Bombardier BD-700 Global Express,Canada,"Ultra long range, high speed, high capacity corporate jet",
bombardierlearjet45,Bombardier Learjet 45,United States of America,Mid size corporate jet,
bombardierlearjet5560,Bombardier Learjet 55 & 60,United States of America,Mid size corporate jets,
brantlyb2305,Brantly B2 & 305,United States of America,Light piston powered utility helicopters,
bristol170freighter,Bristol 170 Freighter,United Kingdom,Short range freighter/utility transport,
britishaerospaceatp,British Aerospace ATP,United Kingdom,Turboprop powered regional airliners,
britishaerospaceavrorj7085100,British Aerospace Avro RJ70/85/100,United Kingdom,Regional airliner,
britishaerospacebae146,British Aerospace BAe-146,United Kingdom,Regional jet airliner,
britishaerospacejetstream31super31,British Aerospace Jetstream 31/Super 31,United Kingdom,19 seat regional airliner,
britishaerospacejetstream41,British Aerospace Jetstream 41,United Kingdom,29 seat regional turboprop airliner,
brittennormanbn2islander,Britten-Norman BN-2 Islander,United Kingdom,Commuter airliner and light utility transport,
brittennormanbn2amk3trislander,Britten-Norman BN-2A Mk.3 Trislander,United Kingdom,Commuter airliner,
canadaircl215415,Canadair CL-215 & 415,Canada,Firebomber and utility amphibian,
canadaircl44yukon,Canadair CL-44 & Yukon,Canada,Medium to long range airliner and freighter,
canadaircl600challenger600,Canadair CL-600 Challenger 600,Canada,Medium to long range widebody corporate jet,
canadaircl600challenger601604,Canadair CL-600 Challenger 601 & 604,Canada,Long range widebody corporate jets,
canadaircl600regionaljetcrj100200,Canadair CL-600 Regional Jet CRJ-100 & 200,Canada,Regional jet airliner,
canadaircl600regionaljetcrj700,Canadair CL-600 Regional Jet CRJ-700,Canada,70 seat regional jet airliner,
capaviationcap102021230231232,CAP Aviation CAP-10/20/21/230/231/232,France,Single and two seat aerobatic light aircraft,
casac212aviocar,CASA C212 Aviocar,Spain,STOL turboprop regional airliner and utility transport,
casaiptncn235,CASA/IPTN CN235,Spain and Indonesia,Utility transport and 45 seat regional airliner,
cessna150152,Cessna 150 & 152,United States of America,Two seat primary and aerobatic capable trainer,
cessna170,Cessna 170,United States of America,Four seat light aircraft,
cessna172skyhawkearlymodels175skylark,Cessna 172 Skyhawk (early models) & 175 Skylark,United States of America,Four seat light aircraft,
cessna172skyhawklatermodels,Cessna 172 Skyhawk (later models),United States of America,Four seat light aircraft,
cessna172rsskyhawk,Cessna 172R/S Skyhawk,United States of America,Four seat light aircraft,
cessna177cardinal,Cessna 177 Cardinal,United States of America,Four seat light aircraft,
cessna180185skywagon,Cessna 180 & 185 Skywagon,United States of America,Four to six seat utility light aircraft,
cessna182skylane,Cessna 182 Skylane,United States of America,High performance four seat light aircraft,
cessna188agwagonseries,Cessna 188 Agwagon series,United States of America,Agricultural aircraft,
cessna205206207,"Cessna 205, 206 & 207",United States of America,Six seat utility light aircraft,
cessna208caravanigrandcaravancargomaster,"Cessna 208 Caravan I, Grand Caravan & Cargomaster",United States of America,Single turboprop utility transport,
cessna210centurion,Cessna 210 Centurion,United States of America,High performance four to six seat light aircraft,
cessna310320,Cessna 310/320,United States of America,Four to six seat light piston twins,
cessna336337skymaster,Cessna 336 & 337 Skymaster,United States of America,Six seat light piston twins,
cessna340335,Cessna 340 & 335,United States of America,Six seat business twins,
cessna404titan,Cessna 404 Titan,United States of America,"Ten place corporate, commuter and freighter transport",
cessna411401402,"Cessna 411, 401 & 402",United States of America,"Freighter, 10 seat commuter, or six to eight seat business twins",
cessna421414,Cessna 421 & 414,United States of America,Pressurised six to eight seat cabin twins,
cessna500501citationcitationicitationisp,"Cessna 500 & 501 Citation, Citation I & Citation I/SP",United States of America,Light corporate jets,
cessna560citationvultraultraencore,"Cessna 560 Citation V, Ultra & Ultra Encore",United States of America,Small to midsize corporate jet,
cessna560xlcitationexcel,Cessna 560XL Citation Excel,United States of America,Small to mid size corporate jet,
cessna680citationsovereign,Cessna 680 Citation Sovereign,United States of America,Mid size corporate jet,
cessnacitationiibravo,Cessna Citation II & Bravo,United States of America,Light corporate jets,
cessnacitationiiivivii,"Cessna Citation III, VI & VII",United States of America,Medium size corporate jets,
cessnacitationx,Cessna Citation X,United States of America,"Long range, high speed, mid size corporate jet",
cessnacitationjetcj1cj2,"Cessna CitationJet, CJ1 & CJ2",United States of America,Light corporate jets,
cessnacorsairconquestiiicaravanii,"Cessna Corsair, Conquest I & II & Caravan II",United States of America,Turboprop powered executive transports,
cessnat303crusader,Cessna T303 Crusader,United States of America,Six seat corporate and utility transport,
chichestermilesleopard,Chichester-Miles Leopard,United Kingdom,High performance jet powered four seat light aircraft,
cirrussr2022,Cirrus SR-20/22,United States of America,Four seat high performance light aircraft,
commander114b,Commander 114B,United States of America,Four seat high performance light aircraft,
convair2403404405405806006405800,Convair 240/340/440/540/580/600/640/5800,United States of America,Short haul commercial transports,
curtissc46commando,Curtiss C46 Commando,United States of America,Freighter,
dassaultfalcon2000,Dassault Falcon 2000,France,Transcontinental range mid to large size corporate jet,
dassaultfalcon50,Dassault Falcon 50,France,Long range mid size corporate jet,
dassaultfalcon900,Dassault Falcon 900,France,Large transcontinental range corporate jet,
dassaultmystrefalcon10100,Dassault Mystère/Falcon 10 & 100,France,Light corporate jet,
dassaultmystrefalcon20200,Dassault Mystère/Falcon 20 & 200,France,Mid size corporate jet and multirole utility transport,
dehavillandcanadadash7,De Havilland Canada Dash 7,Canada,STOL turboprop regional airliner,
dehavillandcanadadhc1chipmunk,De Havilland Canada DHC-1 Chipmunk,Canada,Two seat light aircraft,
dehavillandcanadadhc3otter,De Havilland Canada DHC-3 Otter,Canada,STOL utility transport,
dehavillandcanadadhc4caribou,De Havilland Canada DHC-4 Caribou,Canada,STOL utility transport,
dehavillandcanadadhc6twinotter,De Havilland Canada DHC-6 Twin Otter,Canada,STOL turboprop regional airliner and utility transport,
dehavillandcanadadhc8100200dash8,De Havilland Canada DHC-8-100/200 Dash 8,Canada,Turboprop regional airliner,
dehavillandcanadadhc8300dash8,De Havilland Canada DHC-8-300 Dash 8,Canada,Turboprop regional airliner,
dehavillandcanadadhc8400dash8,De Havilland Canada DHC-8-400 Dash 8,Canada,70 seat regional turboprop airliner,
dehavillandcanadadhc2beaver,De Havilland Canada DHC2 Beaver,Canada,STOL utility transport,
dehavillanddh104dove,De Havilland DH.104 Dove,United Kingdom,Eight seat commuter airliner and executive transport,
dehavillanddh114heron,De Havilland DH.114 Heron,United Kingdom,14 seat commuter airliner,
dehavillanddh82tigermoth,De Havilland DH.82 Tiger Moth,United Kingdom,Two seat biplane light aircraft,
diamondda40diamondstar,Diamond DA-40 Diamond Star,Austria,Four seat light aircraft,
diamondda42twinstar,Diamond DA-42 Twin Star,Austria,Four seat light twin,
dornier228,Dornier 228,Germany,15-19 seat regional airliner and STOL utility transport,
dornier328,Dornier 328,Germany,30 seat regional turboprop airliner,
dornierdo27,Dornier Do 27,Germany,Four to six seat STOL utility light aircraft,
dornierdo28128,Dornier Do 28 & 128,Germany,STOL utility transports,
douglasdc3,Douglas DC-3,United States of America,Short range airliner and utility transport,
douglasdc4,Douglas DC-4,United States of America,Piston engined airliner and freighter,
douglasdc6,Douglas DC-6,United States of America,Piston engined airliner and freighter,
douglasdc7,Douglas DC-7,United States of America,Piston engine airliner and freighter,
douglasdc81020304050,Douglas DC-8-10/20/30/40/50,United States of America,Medium to long range airliner and freighter,
douglasdc86070,Douglas DC-8-60/70,United States of America,Long range medium capacity airliner and freighter,
ehindustrieseh101,EH Industries EH 101,Italy and United Kingdom,"Commuter, offshore oil rig support & utility helicopter",
embraeremb110bandeirante,Embraer EMB-110 Bandeirante,Brazil,15-18 seat turboprop regional airliner,
embraeremb120brasilia,Embraer EMB120 Brasilia,Brazil,30 seat turboprop regional airliner,
embraeremb121xingu,Embraer EMB121 Xingu,Brazil,Twin turboprop corporate transport,
embraererj135140legacy,Embraer ERJ-135/140 & Legacy,Brazil,37 and 44 seat regional jet airliner and corporate jet,
embraererj145,Embraer ERJ-145,Brazil,50 seat regional jet airliner,
embraererj170175190195,Embraer ERJ-170/175/190/195,Brazil,"70, 78, 98 and 108 seat regional airliner",
enstromf28280480,Enstrom F-28/280/480,United States of America,Three and five seat light helicopters,
ercoercoupeandderivatives,Erco Ercoupe and derivatives,United States of America,Two-seat light aircraft,
eurocopteras332superpuma,Eurocopter AS 332 Super Puma,France,Medium lift utility helicopter,
eurocopteras350ecureuil,Eurocopter AS-350 Ecureuil,France,Light utility helicopter,
eurocopteras355ecureuil2,Eurocopter AS-355 Ecureuil 2,France,Twin engined light utility helicopter,
eurocopteras365ndauphin2ec155,Eurocopter AS-365N Dauphin 2 & EC-155,France,Twin engine mid sized utility helicopter,
eurocopterbo105ecsuperfive,Eurocopter BO 105 & EC Super Five,Germany,Five place multi purpose light utility helicopter,
eurocopterec120colibri,Eurocopter EC-120 Colibri,"France, Germany, China and Singapore",Five place light utility helicopter,
eurocopterec135635,Eurocopter EC-135/635,Germany and France,Seven place light twin turbine utility helicopter,
eurocopterkawasakibk117,Eurocopter/Kawasaki BK 117,Germany and Japan,Twin engine utility helicopter,
extra230300200,"Extra 230, 300 & 200",Germany,Unlimited competition aerobatic aircraft,
fairchildaerospacemetroiiiii23,"Fairchild Aerospace Metro II, III & 23",United States of America,19 seat regional airliner,
fairchilddornier328jet,Fairchild Dornier 328JET,Germany,32 seat regional jet airliner,
fairchilddornier728,Fairchild Dornier 728,Germany,Regional jet airliner,
fairchildswearingenmerlin,Fairchild (Swearingen) Merlin,United States of America,Turboprop corporate transport,
ffaas202bravo,FFA AS-202 Bravo,Switzerland,Two seat basic trainer and aerobatic light aircraft,
fokker100,Fokker 100,Netherlands,100 seat regional jet,
fokker50,Fokker 50,Netherlands,Turboprop regional airliner,
fokker70,Fokker 70,Netherlands,70 seat regional jetliner,
fokkerf27fairchildf27fh227,Fokker F-27 & Fairchild F-27 & FH-227,Netherlands,Regional airliners,
fokkerf28fellowship,Fokker F-28 Fellowship,Netherlands,Regional jet airliner,
fujifa200aerosubaru,Fuji FA200 Aero Subaru,Japan,Four seat light aircraft,
gafn22n24nomad,GAF N22 & N24 Nomad,Australia,STOL utility transport,
gippslandga200fatman,Gippsland GA-200 Fatman,Australia,Two seat agricultural aircraft,
gippslandga8airvan,Gippsland GA-8 Airvan,Australia,Eight seat utility light aircraft,
grobg115,Grob G-115,Germany,Two seat basic and aerobatic trainer,
grobgf200,Grob GF 200,Germany,Four seat high performance light aircraft,
grummanamericanaa1,Grumman American AA-1,United States of America,Two seat light aircraft,
grummanamericanaa5,Grumman American AA-5,United States of America,Four seat light aircraft,
grummang1159gulfstreamiiiii,Grumman G-1159 Gulfstream II/III,United States of America,Long range large corporate jet,
grummang159gulfstreami,Grumman G-159 Gulfstream I,United States of America,Corporate transport and regional airliner,
grummang164agcat,Grumman G-164 Ag-Cat,United States of America,Biplane agricultural aircraft,
grummang21goose,Grumman G-21 Goose,United States of America,Eight seat utility amphibian,
grummang44widgeon,Grumman G-44 Widgeon,United States of America,Light utility amphibian,
grummang64111albatross,Grumman G-64/111 Albatross,United States of America,Amphibious airliner and light utility transport,
grummang73mallard,Grumman G-73 Mallard,United States of America,Ten seat utility amphibious transport,
gulfstreamaerospacegivgulfstreamiv,Gulfstream Aerospace G-IV Gulfstream IV,United States of America,Long range large corporate transport,
gulfstreamaerospacegvgulfstreamv,Gulfstream Aerospace G-V Gulfstream V,United States of America,Ultra long range large corporate transport,
gulfstreamaerospacejetpropturbocommander,Gulfstream Aerospace Jetprop & Turbo Commander,United States of America,Twin turboprop utility and corporate transports,
handleypageherald,Handley Page Herald,United Kingdom,Turboprop airliner and freighter,
harbiny1112,Harbin Y-11/12,China,Commuter airliners and utility transports,
hawkersiddeleyhs125123400600,Hawker Siddeley HS-125-1/2/3/400/600,United Kingdom,Mid size corporate jet,
hawkersiddeleyhs748,Hawker Siddeley HS-748,United Kingdom,Regional airliner,
heliocourier,Helio Courier,United States of America,Four/six place STOL utility light aircraft,
hilleruh12,Hiller UH12,United States of America,Light utility helicopter,
hindustanadvancedlighthelicopter,Hindustan Advanced Light Helicopter,India,Medium utility helicopter,
hondaha420hondajet,Honda HA-420 HondaJet,Japan and United States of America,Light corporate jet,
iaiarava,IAI Arava,Israel,STOL utility transport,
iaiwestwind,IAI Westwind,Israel,Small to mid size corporate jet,
ilyushinil103,Ilyushin Il-103,Russia,Two and five seat light aircraft,
ilyushinil114,Ilyushin Il-114,Russia,Turboprop regional airliner,
ilyushinil14,Ilyushin Il-14,Russia,Short range airliner and utility transport,
ilyushinil18,Ilyushin Il-18,Russia,Medium range turboprop airliner,
ilyushinil62,Ilyushin Il-62,Russia,Medium to long range medium capacity airliner,
ilyushinil76,Ilyushin Il-76,Russia,Medium to long range freighter,
ilyushinil86,Ilyushin Il-86,Russia,Medium range widebody airliner,
ilyushinil96300,Ilyushin Il-96-300,Russia,Long range widebody airliner,
ilyushinil96mil96t,Ilyushin Il-96M & Il-96T,Russia,Long range widebody airliner and freighter,
iptnn250,IPTN N-250,Indonesia,64/68 seat turboprop regional airliner,
israeliai1125astragulfstreamg100,Israel IAI-1125 Astra/Gulfstream G100,Israel,Small to mid size corporate jet,
israeliai1126galaxygulfstreamg200,Israel IAI-1126 Galaxy/Gulfstream G200,Israel,Super mid size corporate transport,
kamank1200kmax,Kaman K-1200 K-Max,United States of America,Aerial crane and utility helicopter,
kamovka26ka226,Kamov Ka26 & Ka-226,Russia,Light twin engine utility and training helicopter,
kamovka32,Kamov Ka32,Russia,Medium size utility helicopter,
kestrelk250,Kestrel K250,United States of America,Four to six place light aircraft,
lakela4buccaneerrenegade,"Lake LA4, Buccaneer & Renegade",United States of America,Four/six place amphibious light aircraft,
lancairlc40columbia300350400,Lancair LC-40 Columbia 300/350/400,United States of America,High performance four seat light aircraft,
learjet2324252829,Lear Jet 23/24/25/28/29,United States of America,Light corporate jets,
learjet313536,Learjet 31/35/36,United States of America,Light corporate jets,
letl200morava,Let L-200 Morava,Czech Republic,Four/five seat light twin,
letl40metasokol,Let L-40 MetaSokol,Czech Republic,Three/four seat light aircraft,
letl410l420,Let L-410 & L-420,Czech Republic,19 seat turboprop regional airliners,
letl610,Let L-610,Czech Republic,40 seat regional airliner,
lockheedjetstar,Lockheed JetStar,United States of America,Large size corporate jet,
lockheedl100hercules,Lockheed L-100 Hercules,United States of America,Medium range freighter,
lockheedl1011tristar150100150200250,Lockheed L-1011 TriStar 1/50/100/150/200/250,United States of America,Medium to long range widebody airliner,
lockheedl1011tristar500,Lockheed L-1011 TriStar 500,United States of America,Long range widebody airliner,
lockheedl188electra,Lockheed L-188 Electra,United States of America,Turboprop airliner and freighter,
luscombemodel8silvaire,Luscombe Model 8 Silvaire,United States of America,Two seat light aircraft,
luscombespartan,Luscombe Spartan,United States of America,Four seat light aircraft,
maulem4tom7,Maule M-4 to M-7,United States of America,4-5 seat STOL capable light aircraft,
mcdonnelldouglasdc10boeingmd10,McDonnell Douglas DC-10 & Boeing MD-10,United States of America,Medium to long range widebody airliner,
mcdonnelldouglasdc9102030,McDonnell Douglas DC-9-10/20/30,United States of America,Short range airliners,
mcdonnelldouglasdc94050,McDonnell Douglas DC-9-40/50,United States of America,Short to medium range airliners,
mcdonnelldouglasmd11,McDonnell Douglas MD-11,United States of America,Long range widebody airliner,
mcdonnelldouglasmd81828388,McDonnell Douglas MD-81/82/83/88,United States of America,Short to medium range airliner,
mcdonnelldouglasmd87,McDonnell Douglas MD-87,United States of America,Short to medium range airliner,
mcdonnelldouglasmd90,McDonnell Douglas MD-90,United States of America,Short to medium range airliner,
mdhelicoptersmd500530,MD Helicopters MD-500/530,United States of America,Light utility helicopters,
mdhelicoptersmd520n,MD Helicopters MD-520N,United States of America,Light utility helicopter,
mdhelicoptersmd600n,MD Helicopters MD-600N,United States of America,Eight place light utility helicopter,
milmi26,Mil Mi-26,Russia,Ultra heavy lift utility helicopter,
milmi34,Mil Mi-34,Russia,Two/four place light helicopter,
milmi817,Mil Mi-8/17,Russia,Medium lift utility helicopters,
millicerm10airtourer,Millicer M10 AirTourer,Australia,Two seat aerobatic capable light aircraft,
mitsubishimu2,Mitsubishi MU-2,Japan,Twin turboprop utility transport,
mooneym20tom20g,Mooney M-20 to M-20G,United States of America,Four seat high performance light aircraft,
mooneym20jtom20s,Mooney M-20J to M-20S,United States of America,High performance four seat light aircraft,
namcys11,NAMC YS-11,Japan,Twin turboprop regional airliner,
noorduynnorseman,Noorduyn Norseman,Canada,10 place utility transport,
northamericanrockwell100darterlarkcommander,North American Rockwell 100 Darter/Lark Commander,United States of America,Four seat light aircraft,
northamericanryannavion,North American/Ryan Navion,United States of America,High performance four/five seat light aircraft,
pacificaerospacect4airtrainer,Pacific Aerospace CT-4 Airtrainer,New Zealand,Two/three seat basic trainer,
pacificaerospacefletcherfu24cresco,Pacific Aerospace Fletcher FU-24 & Cresco,New Zealand,Agricultural aircraft,
partenaviap68,Partenavia P-68,Italy,Six/seven place light twin,
piaggiop166,Piaggio P-166,Italy,Commuter airliner and utility transport,
piaggiop180avanti,Piaggio P.180 Avanti,Italy,Twin turboprop executive transport,
pilatuspc12,Pilatus PC12,Switzerland,"Utility, regional airliner and corporate turboprop",
pilatuspc6porterturboporter,Pilatus PC6 Porter & Turbo Porter,Switzerland,STOL utility transport,
pipercub,Piper Cub,United States of America,Two seat light aircraft,
piperpa18supercub,Piper PA-18 Super Cub,United States of America,Two seat utility light aircraft,
piperpa2022pacertripacercaribbeancolt,Piper PA-20/22 Pacer/Tri-Pacer/Caribbean/Colt,United States of America,Two and four seat light aircraft,
piperpa23apacheaztec,Piper PA-23 Apache/Aztec,United States of America,Four seat light twins,
piperpa24comanche,Piper PA-24 Comanche,United States of America,Four seat high performance light aircraft,
piperpa25pawnee,Piper PA-25 Pawnee,United States of America,Agricultural aircraft,
piperpa28cherokeeseries,Piper PA-28 Cherokee Series,United States of America,Two and four seat light aircraft,
piperpa28rcherokeearrow,Piper PA-28R Cherokee Arrow,United States of America,Four seat light aircraft,
piperpa3039twincomanche,Piper PA-30/39 Twin Comanche,United States of America,Six seat light twin,
piperpa31chieftainmojavet1020t1040,Piper PA-31 Chieftain/Mojave/T-1020/T-1040,United States of America,Eight/ten seat corporate transport and commuter airliner,
piperpa31navajopressurizednavajo,Piper PA-31 Navajo/Pressurized Navajo,United States of America,Six/eight seat corporate transport and commuter airliner,
piperpa31tcheyenne,Piper PA-31T Cheyenne,United States of America,Twin turboprop corporate transports,
piperpa32cherokeesixlancesaratoga,"Piper PA-32 Cherokee Six, Lance & Saratoga",United States of America,Six seat high performance light aircraft,
piperpa34seneca,Piper PA-34 Seneca,United States of America,Six place light twin,
piperpa36pawneebrave,Piper PA-36 Pawnee Brave,United States of America,Agricultural aircraft,
piperpa38tomahawk,Piper PA-38 Tomahawk,United States of America,Two seat light aircraft and basic trainer,
piperpa42cheyenneiii400,Piper PA-42 Cheyenne III/400,United States of America,Twin turboprop corporate transport,
piperpa44seminole,Piper PA-44 Seminole,United States of America,Four seat light twin,
piperpa46malibumeridian,Piper PA-46 Malibu Meridian,United States of America,Six seat corporate turboprop,
piperpa46malibumalibumirage,Piper PA-46 Malibu/Malibu Mirage,United States of America,Six seat high performance light aircraft,
piperpa60aerostar,Piper PA-60 Aerostar,United States of America,Six seat high performance light twin,
pittss12special,Pitts S-1/2 Special,United States of America,Single and two seat competition aerobatic biplanes,
